referencia,ano_foto,descripcion,url_ficha,url_imagen_resultado,carpeta_imagen,fondo_o_procedencia,tipo_clasificacion,criterio_clasificacion,uso_recomendado
52057,1976 - 1979,"Javier Altuna, Tambor Mayor, dirigiendo a la Tamborrada (1976-1979). Donación...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52057,https://www.irun.org/fototeca/fcruz194/52057.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52058,1976 - 1979,Integrantes del Alarde (1976-1979). Donación de Felipe Iguiñiz,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52058,https://www.irun.org/fototeca/fcruz194/52058.tif,fcruz194,Felipe Iguiñiz,explicito,"Procedencia explícita en descripción web, a veces truncada en el listado",publicable_con_atribucion
52059,1976 - 1978,Ciudadanos en la calle Larretxipi un día de San Marcial de entre 1976-1978....,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52059,https://www.irun.org/fototeca/fcruz194/52059.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52060,1975 - 1978,Integrantes de la Banda de Música del Alarde (1975-1978). Donación de Felipe...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52060,https://www.irun.org/fototeca/fcruz194/52060.tif,fcruz194,Felipe Iguiñiz,explicito,"Procedencia explícita en descripción web, a veces truncada en el listado",publicable_con_atribucion
52061,1976 - 1976,Espectadores e integrantes de la Banda de Música del Alarde (1976). Donación de...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52061,https://www.irun.org/fototeca/fcruz194/52061.tif,fcruz194,Procedencia truncada o sin identificar,pendiente,"La descripción web indica donación, cesión u origen familiar, pero el listado no muestra la procedencia completa",revisar_ficha_o_base_archivo
52062,1977 - 1978,Ciudadanos y participantes en el Alarde en la calle San Marcial (1977 ó 1978)....,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52062,https://www.irun.org/fototeca/fcruz194/52062.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52063,1976 - 1976,"Ramoni Recarte, cantinera de la Tamborrada (1976). Donación de Felipe Iguiñiz",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52063,https://www.irun.org/fototeca/fcruz194/52063.tif,fcruz194,Felipe Iguiñiz,explicito,"Procedencia explícita en descripción web, a veces truncada en el listado",publicable_con_atribucion
52064,1976 - 1976,Ciudadanos y participantes en el Alarde (1976). Donación de Felipe Iguiñiz,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52064,https://www.irun.org/fototeca/fcruz194/52064.tif,fcruz194,Felipe Iguiñiz,explicito,"Procedencia explícita en descripción web, a veces truncada en el listado",publicable_con_atribucion
52065,1977 - 1978,"Eduvigio Tife Aseguinolaza, Cornetín de órdenes del Alarde entre los años...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52065,https://www.irun.org/fototeca/fcruz194/52065.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52066,1977 - 1978,"El General , Patxo Rodríguez, durante la concentración en la plaza San Juan...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52066,https://www.irun.org/fototeca/fcruz194/52066.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52067,1975 - 1978,"José Luis García Rementeria, integrante de lla escuadra de Hacehros del Alarde...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52067,https://www.irun.org/fototeca/fcruz194/52067.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52068,1975 - 1977,Vista del monte San Marcial un 30 de junio de entre 1975-1977. Donación de...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52068,https://www.irun.org/fototeca/fcruz194/52068.tif,fcruz194,Procedencia truncada o sin identificar,pendiente,"La descripción web indica donación, cesión u origen familiar, pero el listado no muestra la procedencia completa",revisar_ficha_o_base_archivo
52069,1976 - 1976,Escuadra de Hacheros durante la subida de la iglesia por la mañana (1976)....,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52069,https://www.irun.org/fototeca/fcruz194/52069.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52070,1975 - 1978,El General y el Cornetín de órdenes a su paso por el paseo Colón (1975-1978)....,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52070,https://www.irun.org/fototeca/fcruz194/52070.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52071,1976 - 1976,Integrantes de la Banda de Música del Alarde (1976). Donación de Felipe Iguiñiz,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52071,https://www.irun.org/fototeca/fcruz194/52071.tif,fcruz194,Felipe Iguiñiz,explicito,"Procedencia explícita en descripción web, a veces truncada en el listado",publicable_con_atribucion
52072,1976 - 1976,"Ramoni Recarte, cantinera de la Tamborrada en la edición del Alarde de 1976....",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52072,https://www.irun.org/fototeca/fcruz194/52072.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
