referencia,ano_foto,descripcion,url_ficha,url_imagen_resultado
1858,1962 - 1962,"María José Boada, cantinera de la escolta de Caballería del Alarde de Irun...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1858,https://www.irun.org/fototeca/fcruzpe1/1858.jpg
1859,1962 - 1962,"María José Boada, cantinera de la escolta de Caballería del Alarde de Irun...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1859,https://www.irun.org/fototeca/fcruzpe1/1859.jpg
1860,1962 - 1962,"María José Boada, cantinera de la escolta de Caballería del Alarde de Irun...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1860,https://www.irun.org/fototeca/fcruzpe1/1860.jpg
1861,1965 - 1965,"Juncal Alsua, cantinera de la Compañía Meaka del Alarde (1965)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1861,https://www.irun.org/fototeca/fcruzpe1/1861.jpg
1862,1965 - 1965,"Juncal Alsua, cantinera de la Compañía Meaka del Alarde (1965)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1862,https://www.irun.org/fototeca/fcruzpe1/1862.jpg
1863,1965 - 1965,"Margarita Etxegarai, cantinera de la Compañía Behobia del Alarde (1965)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1863,https://www.irun.org/fototeca/fcruzpe1/1863.jpg
1864,1964 - 1964,"Mercedes Echeverria, cantinera de la Compañía Bidasoa del Alarde (1964)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1864,https://www.irun.org/fototeca/fcruzpe1/1864.jpg
1865,1962 - 1962,"María José Boada, cantinera de la escolta de Caballería del Alarde de Irun...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1865,https://www.irun.org/fototeca/fcruzpe1/1865.jpg
1866,1962 - 1962,"María José Boada, cantinera de la escolta de Caballería del Alarde de Irun...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1866,https://www.irun.org/fototeca/fcruzpe1/1866.jpg
1867,1962 - 1962,María José Boada cantinera de la escolta de Caballería del Alarde de Irun (1962),https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1867,https://www.irun.org/fototeca/fcruzpe1/1867.jpg
1870,1962 - 1962,"Ana Mª Labourdette, Cantinera de la batería de Artillería del Alarde de Irun...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1870,https://www.irun.org/fototeca/fcruzpe1/1870.jpg
1871,1962 - 1962,"Retrato de Ana Mª Labourdette, Cantinera de la batería de Artillería del Alarde...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1871,https://www.irun.org/fototeca/fcruzpe1/1871.jpg
1872,1962 - 1962,"Retrato de Ana Mª Labourdette, Cantinera de la batería de Artillería del Alarde...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1872,https://www.irun.org/fototeca/fcruzpe1/1872.jpg
1873,1962 - 1962,"Retrato de Ana Mª Labourdette, Cantinera de la batería de Artillería del Alarde...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1873,https://www.irun.org/fototeca/fcruzpe1/1873.jpg
1874,1962 - 1962,"Concepción Alzaga, cantinera de la Compañía Ventas del Alarde en 1962",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1874,https://www.irun.org/fototeca/fcruzpe1/1874.jpg
1875,1962 - 1962,"Concepción Alzaga, cantinera de la Compañía Ventas del Alarde en 1962 junto a...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1875,https://www.irun.org/fototeca/fcruzpe1/1875.jpg
1876,1962 - 1962,"Retrato fConcepción Alzaga, cantinera de la Compañía Ventas del Alarde, con sus...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1876,https://www.irun.org/fototeca/fcruzpe1/1876.jpg
1877,1962 - 1962,"Presentación de las Cantineras del Alarde de Irun en la carroza, el mismo año...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1877,https://www.irun.org/fototeca/fcruzpe1/1877.jpg
1878,1962 - 1962,"Juncal Recarte, cantinera de la Compañía Bidasoa del Alarde (1962)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1878,https://www.irun.org/fototeca/fcruzpe1/1878.jpg
1879,1962 - 1962,"Juncal Recarte, cantinera de la Compañía Bidasoa del Alarde (1962)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1879,https://www.irun.org/fototeca/fcruzpe1/1879.jpg
1880,1962 - 1962,"María Pilar Garmendia, cantinera de la Compañía Santa Elena del Alarde (1962)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1880,https://www.irun.org/fototeca/fcruzpe1/1880.jpg
1881,1962 - 1962,"María Pilar Garmendia, cantinera de la Compañía Santa Elena del Alarde, junto a...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1881,https://www.irun.org/fototeca/fcruzpe1/1881.jpg
1882,1962 - 1962,"Carmen Muguruza, cantinera de la Compañía Santiago del Alarde en 1962",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1882,https://www.irun.org/fototeca/fcruzpe1/1882.jpg
1883,1962 - 1962,"Carmen Muguruza, cantinera de la Compañía Santiago del Alarde en 1962",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1883,https://www.irun.org/fototeca/fcruzpe1/1883.jpg
1884,1962 - 1962,"Inés Sánchez, cantinera de la Compañía Anaka del Alarde (1962)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1884,https://www.irun.org/fototeca/fcruzpe1/1884.jpg
1885,1962 - 1962,"Inés Sánchez, cantinera de la Compañía Anaka del Alarde (1962)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1885,https://www.irun.org/fototeca/fcruzpe1/1885.jpg
1886,1963 - 1963,"Juncal Garmendia Arocena, cantinera de la Compañía Bidasoa del Alarde (1963)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1886,https://www.irun.org/fototeca/fcruzpe1/1886.jpg
1887,1963 - 1963,"Feli Moreno, Cantinera de la Compañía San Miguel del Alarde (1963)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1887,https://www.irun.org/fototeca/fcruzpe1/1887.jpg
1888,1963 - 1963,"Mª Paz Ceballos, cantinera de la Compañía Real Unión del Alarde (1963)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1888,https://www.irun.org/fototeca/fcruzpe1/1888.jpg
1889,1963 - 1963,"Mª Paz Ceballos, cantinera de la Compañía Real Unión del Alarde (1963)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1889,https://www.irun.org/fototeca/fcruzpe1/1889.jpg
1890,1963 - 1963,"Juncal Bengoechea, cantinera de la Compañía Lapice del Alarde (1963)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1890,https://www.irun.org/fototeca/fcruzpe1/1890.jpg
1891,1963 - 1963,"Juncal Bengoechea, cantinera de la Compañía Lapice del Alarde (1963)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1891,https://www.irun.org/fototeca/fcruzpe1/1891.jpg
1892,1963 - 1963,"Juncal Bengoechea, cantinera de la Compañía Lapice del Alarde con un familiar...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1892,https://www.irun.org/fototeca/fcruzpe1/1892.jpg
1893,1963 - 1963,"Juncal Bengoechea, cantinera de la Compañía Lapice del Alarde con un familiar...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1893,https://www.irun.org/fototeca/fcruzpe1/1893.jpg
1894,1963 - 1963,"Juncal Bengoechea, cantinera de la Compañía Lapice del Alarde con dos...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1894,https://www.irun.org/fototeca/fcruzpe1/1894.jpg
1895,1964 - 1964,"Mercedes Echeverria, cantinera de la Compañía Bidasoa del Alarde (1964)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1895,https://www.irun.org/fototeca/fcruzpe1/1895.jpg
1896,1964 - 1964,"Mercedes Echeverria, cantinera de la Compañía Bidasoa del Alarde (1964)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1896,https://www.irun.org/fototeca/fcruzpe1/1896.jpg
1897,1963 - 1963,"Romana Emparan Muñoz, cantinera de la Banda de Música del Alarde de Irun (1963)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1897,https://www.irun.org/fototeca/fcruzpe1/1897.jpg
1898,1963 - 1963,"Romana Emparan Muñoz, cantinera de la Banda de Música del Alarde de Irun (1963)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1898,https://www.irun.org/fototeca/fcruzpe1/1898.jpg
1899,1963 - 1963,"Romana Emparan Muñoz, cantinera de la Banda de Música del Alarde de Irun (1963)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1899,https://www.irun.org/fototeca/fcruzpe1/1899.jpg
